Namespace(alpha=0.2, batch_size=2048, beta=0.3, dataset='AMusic', decay=0.0001, early_stop=50, emb_size=64, epochs=1000, gpu_id=1, initilizer='normal', layer=4, lr=0.001, seed=2022, self_loop=0, task='train', top_H=4, topks='[10, 20]')
EPOCH 220/1000 [0.25s], loss: 0.02584
[TEST 0.38s], {'precision': [0.05060458, 0.03705107], 'recall': [0.21696938, 0.30564918], 'ndcg': [0.15075583, 0.17866734]}
EPOCH 221/1000 [0.33s], loss: 0.02557
EPOCH 222/1000 [0.24s], loss: 0.02563
EPOCH 223/1000 [0.26s], loss: 0.02630
EPOCH 224/1000 [0.26s], loss: 0.02378
EPOCH 225/1000 [0.25s], loss: 0.02401
EPOCH 226/1000 [0.26s], loss: 0.02506
EPOCH 227/1000 [0.26s], loss: 0.02523
EPOCH 228/1000 [0.27s], loss: 0.02552
EPOCH 229/1000 [0.25s], loss: 0.02376
EPOCH 230/1000 [0.26s], loss: 0.02517
[TEST 0.34s], {'precision': [0.05138062, 0.03726764], 'recall': [0.22009407, 0.30736373], 'ndcg': [0.15201896, 0.17938258]}
EPOCH 231/1000 [0.36s], loss: 0.02504
EPOCH 232/1000 [0.26s], loss: 0.02395
EPOCH 233/1000 [0.25s], loss: 0.02318
EPOCH 234/1000 [0.25s], loss: 0.02359
EPOCH 235/1000 [0.26s], loss: 0.02297
EPOCH 236/1000 [0.26s], loss: 0.02337
EPOCH 237/1000 [0.26s], loss: 0.02396
EPOCH 238/1000 [0.25s], loss: 0.02386
EPOCH 239/1000 [0.25s], loss: 0.02334
EPOCH 240/1000 [0.26s], loss: 0.02239
[TEST 0.09s], {'precision': [0.05123624, 0.03744811], 'recall': [0.21948486, 0.30926727], 'ndcg': [0.15242724, 0.18054183]}
EPOCH 241/1000 [0.35s], loss: 0.02277
EPOCH 242/1000 [0.25s], loss: 0.02383
EPOCH 243/1000 [0.26s], loss: 0.02376
EPOCH 244/1000 [0.26s], loss: 0.02240
EPOCH 245/1000 [0.26s], loss: 0.02357
EPOCH 246/1000 [0.25s], loss: 0.02240
EPOCH 247/1000 [0.25s], loss: 0.02366
EPOCH 248/1000 [0.26s], loss: 0.02223
EPOCH 249/1000 [0.26s], loss: 0.02189
EPOCH 250/1000 [0.25s], loss: 0.02211
[TEST 0.36s], {'precision': [0.05159718, 0.03764663], 'recall': [0.22037405, 0.31034874], 'ndcg': [0.1533774 , 0.18159084]}
EPOCH 251/1000 [0.31s], loss: 0.02223
EPOCH 252/1000 [0.24s], loss: 0.02291
EPOCH 253/1000 [0.25s], loss: 0.02156
EPOCH 254/1000 [0.26s], loss: 0.02318
EPOCH 255/1000 [0.26s], loss: 0.02328
EPOCH 256/1000 [0.26s], loss: 0.02277
EPOCH 257/1000 [0.26s], loss: 0.02180
EPOCH 258/1000 [0.26s], loss: 0.02192
EPOCH 259/1000 [0.25s], loss: 0.02093
EPOCH 260/1000 [0.24s], loss: 0.02175
[TEST 0.35s], {'precision': [0.05181375, 0.03778199], 'recall': [0.22064044, 0.31180823], 'ndcg': [0.15330701, 0.18179818]}
EPOCH 261/1000 [0.35s], loss: 0.02151
EPOCH 262/1000 [0.23s], loss: 0.02136
EPOCH 263/1000 [0.26s], loss: 0.02193
EPOCH 264/1000 [0.25s], loss: 0.02160
EPOCH 265/1000 [0.25s], loss: 0.02146
EPOCH 266/1000 [0.25s], loss: 0.02251
EPOCH 267/1000 [0.26s], loss: 0.02034
EPOCH 268/1000 [0.24s], loss: 0.02146
EPOCH 269/1000 [0.26s], loss: 0.02137
EPOCH 270/1000 [0.26s], loss: 0.02055
[TEST 0.35s], {'precision': [0.05239127, 0.03784515], 'recall': [0.22274722, 0.31274436], 'ndcg': [0.15531789, 0.18332654]}
EPOCH 271/1000 [0.32s], loss: 0.02163
EPOCH 272/1000 [0.24s], loss: 0.02043
EPOCH 273/1000 [0.25s], loss: 0.02155
EPOCH 274/1000 [0.25s], loss: 0.02099
EPOCH 275/1000 [0.26s], loss: 0.02232
EPOCH 276/1000 [0.25s], loss: 0.02094
EPOCH 277/1000 [0.26s], loss: 0.01983
EPOCH 278/1000 [0.26s], loss: 0.02029
EPOCH 279/1000 [0.26s], loss: 0.02058
EPOCH 280/1000 [0.26s], loss: 0.01903
[TEST 0.34s], {'precision': [0.05273416, 0.03804367], 'recall': [0.22435527, 0.31330617], 'ndcg': [0.15643198, 0.18421445]}
EPOCH 281/1000 [0.34s], loss: 0.01970
EPOCH 282/1000 [0.25s], loss: 0.01984
EPOCH 283/1000 [0.26s], loss: 0.02044
EPOCH 284/1000 [0.25s], loss: 0.02064
EPOCH 285/1000 [0.26s], loss: 0.01935
EPOCH 286/1000 [0.26s], loss: 0.02028
EPOCH 287/1000 [0.25s], loss: 0.02012
EPOCH 288/1000 [0.26s], loss: 0.01884
EPOCH 289/1000 [0.25s], loss: 0.01986
EPOCH 290/1000 [0.26s], loss: 0.02014
[TEST 0.09s], {'precision': [0.05260783, 0.03807075], 'recall': [0.2236726 , 0.31239403], 'ndcg': [0.15667415, 0.18456567]}
EPOCH 291/1000 [0.33s], loss: 0.02099
EPOCH 292/1000 [0.25s], loss: 0.02004
EPOCH 293/1000 [0.26s], loss: 0.01914
EPOCH 294/1000 [0.25s], loss: 0.02076
EPOCH 295/1000 [0.26s], loss: 0.02016
